date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:19	21700/21700	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:47:01%20GMT	https://preview.colorlib.com/theme/kindergarten/index.html	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/index.html	(from )
16:43:19	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
16:43:19	2149/2149	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2011:13:20%20GMT	https://preview.colorlib.com/theme/kindergarten/site.webmanifest	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/site.webmanifest	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:19	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5bcde7abc65de%22	https://preview.colorlib.com/theme/kindergarten/assets/img/favicon.ico	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/img/favicon.ico	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:20	30437/30437	---MCZ	200	added ('OK')	text/css	etag:W/%2276e5-5c1f9d142e9f2-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/bootstrap.min.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:20	2909/2909	---MCZ	200	added ('OK')	text/css	etag:W/%22b5d-5c1f9d142f992-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/owl.carousel.min.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:20	2506/2506	---MCZ	200	added ('OK')	text/css	etag:W/%229ca-5c220b7833019-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/slicknav.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:20	823/823	---MCZ	200	added ('OK')	text/css	etag:W/%22337-5c1f9d142f992-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/progressbar_barfiller.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/progressbar_barfiller.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:21	55521/55521	---MCZ	200	added ('OK')	text/css	etag:W/%22d8e1-5c1f9d142e9f2-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/gijgo.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/gijgo.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:21	34530/34530	---MCZ	200	added ('OK')	text/css	etag:W/%2286e2-5c1f9d142da52-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/animate.min.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:22	16507/16507	---MCZ	200	added ('OK')	text/css	etag:W/%22407b-5c1f9d142da52-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/animated-headline.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/animated-headline.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:22	4213/4213	---MCZ	200	added ('OK')	text/css	etag:W/%221075-5c1f9d142e9f2-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/magnific-popup.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:22	3528/3528	---MCZ	200	added ('OK')	text/css	etag:W/%22dc8-5c1f9d142e9f2-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/fontawesome-all.min.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
16:43:23	1063/1063	---MCZ	200	added ('OK')	text/css	etag:W/%22427-5c1f9d142f992-gzip%22	https://preview.colorlib.com/theme/kindergarten/assets/css/themify-icons.css	D:/front-endtraining/html-lessons/html-lesson/kinder/preview.colorlib.com/theme/kindergarten/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/kindergarten/index.html)
